meaning,abs_pearson
Ni__mean__atomic_number_norm,0.14646549600401026
Ni__mean__electron_affinity_norm,0.14646549589012048
rbf_bin36__mean,0.14283434757272692
rbf_bin18__mean,0.13962496510790268
Y__mean__magmom,0.13957475972983296
Y__mean__atomic_mass_norm,0.13957475929305535
Y__mean__OFM_component_1,0.13957475921205398
Y__mean__OFM_component_8,0.13957475921205398
Y__mean__atomic_radius_norm,0.13957475921205398
Y__mean__electron_affinity_norm,0.13957475888067977
Y__mean__atomic_number_norm,0.1395747588171824
global_mean__OFM_component_10,0.13520077936359087
Cr__mean__atomic_radius_norm,0.13352902036715864
Cr__mean__atomic_number_norm,0.13352902032581776
Cr__mean__electron_affinity_norm,0.13352902025163324
Cr__mean__OFM_component_0,0.13352901975051826
Cr__mean__OFM_component_12,0.13352901975051826
Cr__mean__magmom,0.13352901940197096
Cr__mean__atomic_mass_norm,0.133529019075882
global_std__OFM_component_10,0.13323676384812322
V__count,0.13260869221434635
Nd__mean__magmom,0.13000347723001277
Nd__mean__OFM_component_21,0.1300034772300127
Nd__mean__OFM_component_1,0.1300034772300127
Nd__mean__atomic_radius_norm,0.1300034772300127
Nd__mean__atomic_mass_norm,0.1300034772300127
Nd__mean__electron_affinity_norm,0.13000347710920426
Nd__mean__atomic_number_norm,0.13000347670588375
rbf_bin31__std,0.12677910480236723
global_std__OFM_component_15,0.12613225533296823
V__mean__atomic_number_norm,0.1260273259842032
V__mean__atomic_radius_norm,0.12602732590614507
V__mean__atomic_mass_norm,0.12602732554756646
V__mean__magmom,0.12602732515328877
V__mean__OFM_component_10,0.12602732503582662
V__mean__OFM_component_1,0.12602732503582662
V__mean__electron_affinity_norm,0.12602732503582662
rbf_bin18__std,0.12318999017599976
rbf_bin37__mean,0.12295819956698621
Gd__mean__atomic_mass_norm,0.12148409864659272
Gd__mean__OFM_component_1,0.12148409809934096
Gd__mean__OFM_component_24,0.12148409809934096
Gd__mean__OFM_component_8,0.12148409809934096
Gd__mean__atomic_radius_norm,0.12148409809934096
Gd__mean__magmom,0.12148409794280333
Gd__mean__electron_affinity_norm,0.12148409765378332
Gd__mean__atomic_number_norm,0.12148409760047277
Er__mean__atomic_number_norm,0.11999754273770503
Er__mean__magmom,0.11999754238940774
Er__mean__OFM_component_1,0.11999754231631327
Er__mean__OFM_component_29,0.11999754231631327
Er__mean__atomic_mass_norm,0.11999754231631327
Er__mean__electron_affinity_norm,0.11999754226206437
Er__mean__atomic_radius_norm,0.11999754212421272
C__count,0.11703301685484405
rbf_bin39__std,0.11459726708125081
Th__mean__electron_affinity_norm,0.11401086083156481
Th__mean__OFM_component_1,0.11401086062737631
Th__mean__OFM_component_9,0.11401086062737631
Th__mean__atomic_mass_norm,0.11401086062737631
Th__mean__atomic_number_norm,0.11401086062737631
Th__mean__atomic_radius_norm,0.11401086062737628
Th__mean__magmom,0.1140108605001736
Ni__count,0.11298698981371108
Sm__count,0.1121073248222107
Cr__count,0.1097688797034256
C__std__atomic_radius_norm,0.10877367435650902
B__mean__electron_affinity_norm,0.1085839171152871
B__mean__magmom,0.10858391458891614
B__mean__OFM_component_1,0.10858391022857941
B__mean__OFM_component_2,0.10858391022857941
B__mean__atomic_number_norm,0.10858391022857938
